WEEK,country,event_type,events
2023-01-07,Israel,Protests,18
2023-01-07,Israel,Strategic developments,1
2023-01-07,Palestine,Battles,28
2023-01-07,Palestine,Explosions/Remote violence,9
2023-01-07,Palestine,Protests,11
2023-01-07,Palestine,Riots,81
2023-01-07,Palestine,Strategic developments,39
2023-01-07,Palestine,Violence against civilians,9
2023-01-14,Israel,Protests,27
2023-01-14,Israel,Riots,3
2023-01-14,Israel,Strategic developments,2
2023-01-14,Palestine,Battles,27
2023-01-14,Palestine,Explosions/Remote violence,8
2023-01-14,Palestine,Protests,10
2023-01-14,Palestine,Riots,70
2023-01-14,Palestine,Strategic developments,41
2023-01-14,Palestine,Violence against civilians,13
2023-01-21,Israel,Explosions/Remote violence,1
2023-01-21,Israel,Protests,29
2023-01-21,Israel,Strategic developments,5
2023-01-21,Israel,Violence against civilians,1
2023-01-21,Palestine,Battles,37
2023-01-21,Palestine,Explosions/Remote violence,6
2023-01-21,Palestine,Protests,28
2023-01-21,Palestine,Riots,140
2023-01-21,Palestine,Strategic developments,21
2023-01-21,Palestine,Violence against civilians,13
2023-01-28,Israel,Explosions/Remote violence,1
2023-01-28,Israel,Protests,39
2023-01-28,Israel,Riots,1
2023-01-28,Israel,Strategic developments,4
2023-01-28,Palestine,Battles,36
2023-01-28,Palestine,Explosions/Remote violence,7
2023-01-28,Palestine,Protests,20
2023-01-28,Palestine,Riots,168
2023-01-28,Palestine,Strategic developments,23
2023-01-28,Palestine,Violence against civilians,15
2023-02-04,Israel,Protests,60
2023-02-04,Israel,Riots,2
2023-02-04,Israel,Strategic developments,2
2023-02-04,Israel,Violence against civilians,1
2023-02-04,Palestine,Battles,30
2023-02-04,Palestine,Explosions/Remote violence,2
2023-02-04,Palestine,Protests,8
2023-02-04,Palestine,Riots,45
2023-02-04,Palestine,Strategic developments,14
2023-02-04,Palestine,Violence against civilians,11
2023-02-11,Israel,Explosions/Remote violence,1
2023-02-11,Israel,Protests,43
2023-02-11,Israel,Strategic developments,4
2023-02-11,Palestine,Battles,26
2023-02-11,Palestine,Explosions/Remote violence,8
2023-02-11,Palestine,Protests,25
2023-02-11,Palestine,Riots,98
2023-02-11,Palestine,Strategic developments,25
2023-02-11,Palestine,Violence against civilians,4
2023-02-18,Israel,Explosions/Remote violence,1
2023-02-18,Israel,Protests,89
2023-02-18,Israel,Riots,2
2023-02-18,Israel,Strategic developments,2
2023-02-18,Palestine,Battles,29
2023-02-18,Palestine,Explosions/Remote violence,7
2023-02-18,Palestine,Protests,57
2023-02-18,Palestine,Riots,122
2023-02-18,Palestine,Strategic developments,34
2023-02-18,Palestine,Violence against civilians,7
2023-02-25,Israel,Protests,79
2023-02-25,Israel,Riots,3
2023-02-25,Israel,Strategic developments,1
2023-02-25,Palestine,Battles,29
2023-02-25,Palestine,Explosions/Remote violence,4
2023-02-25,Palestine,Protests,32
2023-02-25,Palestine,Riots,165
2023-02-25,Palestine,Strategic developments,40
2023-02-25,Palestine,Violence against civilians,14
2023-03-04,Israel,Explosions/Remote violence,2
2023-03-04,Israel,Protests,110
2023-03-04,Israel,Riots,3
2023-03-04,Israel,Strategic developments,3
2023-03-04,Israel,Violence against civilians,2
2023-03-04,Palestine,Battles,30
2023-03-04,Palestine,Explosions/Remote violence,4
2023-03-04,Palestine,Protests,38
2023-03-04,Palestine,Riots,107
2023-03-04,Palestine,Strategic developments,23
2023-03-04,Palestine,Violence against civilians,14
2023-03-11,Israel,Battles,1
2023-03-11,Israel,Explosions/Remote violence,1
2023-03-11,Israel,Protests,103
2023-03-11,Israel,Riots,5
2023-03-11,Israel,Strategic developments,2
2023-03-11,Palestine,Battles,19
2023-03-11,Palestine,Explosions/Remote violence,3
2023-03-11,Palestine,Protests,20
2023-03-11,Palestine,Riots,69
2023-03-11,Palestine,Strategic developments,15
2023-03-11,Palestine,Violence against civilians,12
2023-03-18,Israel,Explosions/Remote violence,2
2023-03-18,Israel,Protests,110
2023-03-18,Israel,Riots,8
2023-03-18,Israel,Strategic developments,2
2023-03-18,Palestine,Battles,20
2023-03-18,Palestine,Explosions/Remote violence,4
2023-03-18,Palestine,Protests,30
2023-03-18,Palestine,Riots,74
2023-03-18,Palestine,Strategic developments,18
2023-03-18,Palestine,Violence against civilians,13
2023-03-25,Israel,Protests,101
2023-03-25,Israel,Riots,11
2023-03-25,Israel,Strategic developments,3
2023-03-25,Palestine,Battles,35
2023-03-25,Palestine,Explosions/Remote violence,2
2023-03-25,Palestine,Protests,13
2023-03-25,Palestine,Riots,76
2023-03-25,Palestine,Strategic developments,12
2023-03-25,Palestine,Violence against civilians,12
2023-04-01,Israel,Battles,2
2023-04-01,Israel,Explosions/Remote violence,7
2023-04-01,Israel,Protests,53
2023-04-01,Israel,Riots,19
2023-04-01,Israel,Strategic developments,2
2023-04-01,Israel,Violence against civilians,2
2023-04-01,Palestine,Battles,55
2023-04-01,Palestine,Explosions/Remote violence,10
2023-04-01,Palestine,Protests,22
2023-04-01,Palestine,Riots,118
2023-04-01,Palestine,Strategic developments,15
2023-04-01,Palestine,Violence against civilians,20
2023-04-08,Israel,Protests,46
2023-04-08,Israel,Riots,3
2023-04-08,Israel,Strategic developments,1
2023-04-08,Palestine,Battles,16
2023-04-08,Palestine,Explosions/Remote violence,2
2023-04-08,Palestine,Protests,15
2023-04-08,Palestine,Riots,78
2023-04-08,Palestine,Strategic developments,10
2023-04-08,Palestine,Violence against civilians,9
2023-04-15,Israel,Protests,53
2023-04-15,Israel,Strategic developments,1
2023-04-15,Israel,Violence against civilians,2
2023-04-15,Palestine,Battles,8
2023-04-15,Palestine,Protests,16
2023-04-15,Palestine,Riots,42
2023-04-15,Palestine,Strategic developments,22
2023-04-15,Palestine,Violence against civilians,14
2023-04-22,Israel,Protests,51
2023-04-22,Israel,Riots,3
2023-04-22,Israel,Violence against civilians,3
2023-04-22,Palestine,Battles,11
2023-04-22,Palestine,Protests,17
2023-04-22,Palestine,Riots,60
2023-04-22,Palestine,Strategic developments,22
2023-04-22,Palestine,Violence against civilians,11
2023-04-29,Israel,Explosions/Remote violence,4
2023-04-29,Israel,Protests,62
2023-04-29,Israel,Riots,3
2023-04-29,Israel,Strategic developments,2
2023-04-29,Israel,Violence against civilians,1
2023-04-29,Palestine,Battles,34
2023-04-29,Palestine,Explosions/Remote violence,6
2023-04-29,Palestine,Protests,30
2023-04-29,Palestine,Riots,85
2023-04-29,Palestine,Strategic developments,22
2023-04-29,Palestine,Violence against civilians,17
2023-05-06,Israel,Explosions/Remote violence,32
2023-05-06,Israel,Protests,50
2023-05-06,Israel,Riots,3
2023-05-06,Israel,Strategic developments,2
2023-05-06,Israel,Violence against civilians,2
2023-05-06,Palestine,Battles,18
2023-05-06,Palestine,Explosions/Remote violence,126
2023-05-06,Palestine,Protests,18
2023-05-06,Palestine,Riots,85
2023-05-06,Palestine,Strategic developments,25
