Date,Event Public Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
2025-09-30,30 September 2025: 17 people were shot dead and 33 people were wounded by Israeli forces at a distribution site.,OPT,PSE,Gaza Strip,31.469592588,34.4311510777,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118871,2025-10-16,2025-10-16
2025-09-30,30 September 2025: Seven Palestinians were killed and 10 injured by Israeli forces near an aid distribution point.,OPT,PSE,Gaza Strip,31.4519505824,34.4107247454,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118874,2025-10-16,2025-10-16
2025-09-29,29 September 2025: At least one Palestinian was killed and an unspecified number of others injured by Israeli forcesâ€™ fire near an INGO aid distribution centre.,OPT,PSE,Gaza Strip,31.2830204,34.2805069,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118734,2025-10-13,2025-10-14
2025-09-29,"26 September 2025: A group of people were fired upon by Israeli forces while seeking aid, killing at least 10 Palestinians, including two children, and injuring 18 others. ",OPT,PSE,Gaza Strip,31.4851626,34.4146933,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118897,2025-10-16,2025-10-16
2025-09-28,28 September 2025: Six Palestinians were killed and an unspecified number of others injured by Israeli forces gunfire while waiting for supply trucks.,OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118694,2025-10-12,2025-10-12
2025-09-26,"26 September 2025: A group of Palestinians were fired upon by Israeli forces near an aid distribution centre, killing one Palestinian and injuring an unspecified number of people.",OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118693,2025-10-12,2025-10-12
2025-09-26,"26 September 2025: Palestinian aid seekers near an INGO centre were fired upon by Israeli forces, killing one person and injuring five others. _x000D_
",OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118735,2025-10-13,2025-10-14
2025-04-07,"07 April 2025: A charity field kitchen was struck by an Israeli drone strike, killing seven Palestinians, including three children, and injuring others, including the owner of the field kitchen and kitchen workers. ",OPT,PSE,Gaza Strip,31.3576291134,34.2622931228,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Attack On a Market/Restaurant/Supermarket/Bakery, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95484,2025-05-02,2025-09-18
2025-09-25,25 September 2025: A Palestinian was killed by Israeli forcesâ€™ fire while waiting to receive humanitarian aid.  ,OPT,PSE,Gaza Strip,31.4586131,34.4442171,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118898,2025-10-16,2025-10-16
2025-09-24,"24 September 2025: At least three Palestinians were killed and three others injured by Israeli forcesâ€™ gunfire while waiting to receive humanitarian aid near an INGO distribution centre. _x000D_
",OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118736,2025-10-13,2025-10-14
2025-09-23,"23 September 2025: A group of Palestinians was fired upon by Israeli forces while waiting to receive humanitarian aid, killing three and injuring four others.",OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118692,2025-10-12,2025-10-12
2025-09-23,"23 September 2025: Eight people queuing for food were killed in separate Israeli strikes. _x000D_
",OPT,PSE,Gaza Strip,31.2830204,34.2805069,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118738,2025-10-13,2025-10-14
2025-09-21,"21 September 2025: Aid seekers at an INGO centre were fired upon by Israeli forces, killing one person and injuring seven others. ",OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118739,2025-10-13,2025-10-14
2025-09-21,21 September 2025: A group of people waiting for humanitarian aid was fired upon by Israeli forces. ,OPT,PSE,Gaza Strip,31.4586131,34.4442171,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118899,2025-10-16,2025-10-16
2025-09-20,20 September 2025: At least three Palestinians were killed by Israeli forcesâ€™ fire near the INGO aid distribution centre. ,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118687,2025-10-11,2025-10-14
2025-09-20,20 September 2025: A Palestinian child was killed by an Israeli quadcopter drone near an INGO distribution centre.,OPT,PSE,Gaza Strip,31.2955677941,34.2862822227,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118722,2025-10-12,2025-10-14
