FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AFG,Afghanistan,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,1617.8,1454.1,1774.3,1815.9,1776.9,1908.1,1929.7,2155.4,2191.5,2565.0,2848.6,2757.1,2985.3,3046.6,3017.9,2967.7,2958.8,2953.0,2902.4,2927.2,2769.7,2144.2,1981.7,1983.8,
A,Annual,AGO,Angola,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,6003.0,6049.2,6645.5,6609.2,7074.0,7845.9,8435.5,9264.0,9916.9,9629.1,9672.8,9627.0,10051.3,10150.9,10250.6,9980.9,9381.8,9042.1,8620.2,8274.5,7557.0,7408.1,7397.5,7250.4,7344.1
A,Annual,ALB,Albania,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,6581.6,7232.6,7590.1,8024.8,8482.8,8963.8,9563.5,10262.4,11055.7,11430.0,11828.4,12152.4,12292.3,12525.1,12832.2,13156.3,13692.5,14155.0,14711.0,15078.5,14662.8,16126.8,17112.0,17991.0,18919.8
A,Annual,AND,Andorra,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,54809.1,59109.0,61188.6,63656.2,64353.5,65114.8,66390.3,65534.1,60691.6,57204.0,58285.1,60470.5,58172.1,57332.2,59929.2,62105.2,64402.8,63239.7,63048.6,63215.9,55488.5,59332.2,63913.4,64631.3,65928.3
A,Annual,ARE,United Arab Emirates,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,92547.2,88045.2,84871.6,87150.9,90389.0,89986.1,92044.5,84581.9,77892.0,69358.0,68799.9,70662.5,69158.8,69807.0,69409.0,70234.7,70574.0,68871.8,68855.0,68887.8,65784.7,67401.1,68867.8,68577.5,68584.7
A,Annual,ARG,Argentina,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,22281.4,21066.5,18571.7,20005.1,21591.4,23262.4,24877.2,26850.7,27658.5,25747.2,28056.3,29425.8,28826.0,29227.7,28200.8,28669.2,27802.1,28334.9,27367.1,26629.6,23877.1,26300.3,27628.0,27105.0,26547.1
A,Annual,ARM,Armenia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,4589.0,5044.1,5731.4,6569.3,7299.4,8362.9,9525.2,10898.8,11727.5,10143.2,10438.6,10990.2,11796.3,12194.0,12667.4,13112.8,13193.0,14243.9,15037.0,16215.4,15052.9,15921.7,17886.2,19402.8,20078.8
A,Annual,ATG,Antigua and Barbuda,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,25547.6,24014.8,23958.2,25136.0,26303.6,27692.6,30827.3,33245.3,32756.3,28405.7,25826.6,25023.9,25592.9,25206.8,25557.5,25734.2,26627.7,27199.2,28878.6,29651.9,23930.7,25745.5,27941.8,28474.0,29561.8
A,Annual,AUS,Australia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,45013.0,45338.7,46609.7,47500.8,48980.9,49914.5,50602.4,51562.1,52351.6,52254.3,52589.8,53112.5,54237.6,54699.4,55288.1,55691.7,56341.5,56684.6,57450.4,57837.1,57059.7,58182.3,59883.6,60461.2,60082.0
A,Annual,AUT,Austria,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,53599.6,54098.0,54631.6,54986.7,56048.5,56959.6,58531.5,60544.6,61232.5,58882.1,59803.4,61347.0,61451.5,60937.3,60919.8,61026.0,61647.8,62612.1,63855.8,64688.1,60349.9,62968.9,65661.5,64394.1,63314.5
