STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEL,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Belgium,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,99.7539334647375,99.753935429098,99.7539400983151,99.753934980427,99.7539383311245,99.7539426318408,99.7539408681583,99.7539387945227,99.7539370495517,99.753939498954,99.7401516126768,99.7263646665057,99.7125788497521,99.6987896332682,99.6850059237278,99.6712131462434,99.6574264144783,99.6436452227473,99.629850517228,99.6160672547222,99.6022807755937,99.5884914136541,99.5747071525258,99.5609157233581,99.5471345182049
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IMN,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Isle of Man,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,96.6672319093368,96.6672319093368,96.6672319093368,96.6672319093368,96.6672319093368,97.0030652101286,97.3394568379347,97.676406792755,98.0139150745895,98.3519816834383,98.6906066193012,99.0297898821784,99.3695314720699,99.7098313889755,99.9229122807018,99.9105964912281
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Italy,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,94.7683796202225,94.9871086639703,95.2059380209067,95.4248676910317,95.5418808411868,95.6149212596411,95.6879866413116,95.7610769861982,95.834192294301,95.90733256562,95.9804978001552,96.0536879979065,96.1269031588739,96.2001432830576,96.2734083704574,96.3219111162616,96.3704138620658,96.41891660787,96.4674193536742,96.5159220994784,96.5644248452826,96.6129275910868,96.661430336891,96.7099330826952,96.7584358284994
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCA,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Turks and Caicos Islands,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,47.224438317442,47.1971146261039,47.1715165683378,47.1476536472594,47.1253378854419,47.1044769969249,47.0850750542884,47.0668593351251,47.0499187664591
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JPN,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Japan,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,97.8687629260538,97.8687629260538,97.8687629260538,97.8687629260538,97.8687629260538,97.9138681591711,97.9589807715425,98.004100763168,98.0492281340476,98.0943628841813,98.1395050135691,98.184654522211,98.229811410107,98.2749756772571,98.3201473236613,98.3653263493196,98.410512754232,98.4557065383985,98.5009077018191,98.5461162444938,98.5913321664227,98.6365554676056,98.6817861480426,98.7270242077337,98.7270242077337
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,STP,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,São Tomé and Príncipe,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.9473001373219,26.3820778514698,26.8517437840908,27.3299243074245,27.8113580211176,28.2949235754665,28.7810552134665,29.2696161426433,29.7604671056333,30.2528686679183,30.7472505242538,31.2431560628081,31.740715327225,32.2350294493077,32.7267326295219,33.2155492701388,33.7015106900951,34.1846545417893,34.6650082017517,35.1426134922668,35.6175054530046,36.0898921217956,36.3730925843469,36.5306128413205,36.6800380926738
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TSS,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Sub-Saharan Africa (IDA & IBRD),People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,17.856326781895,18.1091421890453,18.5192166070637,18.9399975195089,19.4120380523365,19.9171130147852,20.4568131398885,21.0153218711181,21.6325387480417,22.2734813638215,22.93561238194,23.3717627087886,24.0748999934765,24.8047438261228,25.56843630039,26.3712135529902,27.1641610478154,27.9519746885603,28.8053120992734,29.6556392322913,30.3699925927884,30.9229549205143,31.4368144934526,31.9349755285214,32.4155533520093
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TZA,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Tanzania,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.28395845752752,1.32075509800783,1.35835490465957,1.40821939232488,2.14076377779176,2.925730250571,4.03249460264019,5.61023492871879,7.29520223288577,9.08698844105162,10.9866691783431,12.9938971930298,15.1094149785771,17.3326681741849,19.6031058852784,21.0391016808304,22.514975929799,24.0291277346378,25.5793671596834,27.1633008168901,28.5686607839818,29.2612494140254,29.9517590546299,30.6397315445459,31.3253989476029
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PER,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Peru,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,45.0009270928098,45.3885887063697,45.7725638287703,46.1533060280871,46.5304164073257,46.9035186602477,47.2734616506688,47.6394614392539,47.949856785304,48.2349363755422,48.5190810583611,48.8015002867777,49.0829918622414,49.3627748732011,49.6412563318218,49.9188248807685,50.1947177626241,50.4693247094818,50.7453137052622,51.022261569147,51.3005036126234,51.5796260705202,50.9317018204268,50.1854352404262,49.4283962319206
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRT,WB_WDI_SH_H2O_SMDW_ZS,_T,_T,_T,PT_POP,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,People using safely managed drinking water services (% of population),0,WB_WDI,PU,A,Annual,Portugal,People using safely managed drinking water services (% of population),Total,All age ranges or no breakdown by age,Total,Percentage of population,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,93.6960057186934,93.7304144933754,93.7646852927511,93.8002410897,93.8370741150893,93.8749089680581,93.9140792645948,93.9543663607408,93.9958440151523,94.0382676951915,94.156957666363,94.274324168074,94.3903192109704,94.4710642260588,94.5497390805673,94.6262957112792,94.7007684390199,94.7731814845443,94.8434931768351,94.9118101336321,94.9780959763413,95.0423716079735,95.1046831961616,95.1650547592568,95.2173479483637
