date,date_string,latitude,longitude,type,description,perpetrator,weapon,year,month,day,event_id,id
2023-01-05,2023-01-05,31.65328,35.2293265,Health Care,AmbulanceDriver: 1 injured,Demonstrators,"Stones, Sticks and Gravel",2023,1,5,36570,1
2023-01-12,2023-01-12,32.0267056794,35.2904891968,Health Care,access obstructed,No Information,No Information on the Weapon Used,2023,1,12,37090,2
2023-01-13,2023-01-13,32.0252510884,35.290145874,Health Care,1 ambulance(s) damaged,No Information,Firearms,2023,1,13,36926,3
2023-01-19,2023-01-19,32.4620862094,35.2915349538,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Firearms,2023,1,19,36927,4
2023-01-21,2023-01-21,31.9030543,35.1952255,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,1,21,36935,5
2023-01-26,2023-01-26,32.460533,35.2881918,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,1,26,37168,6
2023-01-26,2023-01-26,32.4620862094,35.2915349538,Health Care,Health facility incident,Israeli Defence Forces,"Tasers, Live and Rubber Bullets",2023,1,26,37167,7
2023-02-02,2023-02-02,31.7629636205,34.9384953773,Health Care,access obstructed,No Information,Firearms,2023,2,2,39372,8
2023-02-13,2023-02-13,31.8125660076,35.245844152,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,2,13,38020,9
2023-02-13,2023-02-13,31.528902,35.0944873,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,2,13,38023,10
2023-02-22,2023-02-22,32.2195549125,35.2589893341,Health Care,access obstructed,Israeli Defence Forces,Not Applicable: No Direct Violence,2023,2,22,38960,11
2023-02-22,2023-02-22,32.2205316,35.2569374,Health Care,"AmbulanceDriver, OtherHealthProfessional, Paramedic: 2 injured; access obstructed",Israeli Defence Forces,Firearms,2023,2,22,37982,12
2023-02-22,2023-02-22,32.2166679436,35.2593111992,Health Care,access obstructed; 1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,2,22,37962,13
2023-02-22,2023-02-22,32.2200925575,35.2602767944,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,2,22,37979,14
2023-02-22,2023-02-22,32.2202806639,35.2597403526,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,2,22,38936,15
2023-02-26,2023-02-26,32.1521357,35.2571332,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,2,26,38067,16
2023-02-26,2023-02-26,32.1521357,35.2571332,Health Care,1 ambulance(s) damaged,Israeli settlers,"Stones, Sticks and Gravel",2023,2,26,38054,17
2023-02-26,2023-02-26,32.1917967183,35.1960754395,Health Care,1 ambulance(s) damaged,Israeli settlers,"Stones, Sticks and Gravel",2023,2,26,38053,18
2023-02-27,2023-02-27,32.11534039,35.2572101178,Health Care,1 ambulance(s) damaged,Israeli settlers,"Stones, Sticks and Gravel",2023,2,27,38044,19
2023-03-01,2023-03-01,31.8392847114,35.4410363317,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,3,1,38076,20
2023-03-01,2023-03-01,31.8392847114,35.4410363317,Health Care,Health facility incident,Israeli Defence Forces,Firearms,2023,3,1,38074,21
2023-03-05,2023-03-05,31.5583746618,34.543864131,Health Care,Health facility incident,Israel Border Police,Firearms,2023,3,5,38926,22
2023-03-07,2023-03-07,31.4203604,34.3721461689,Health Care,"Doctor, Pharmacist: 2 killed",Israeli Defence Forces,Unspecified Explosive,2023,3,7,72040,23
2023-03-07,2023-03-07,32.4601429368,35.2877427919,Health Care,3 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,3,7,38043,24
2023-03-07,2023-03-07,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,3,7,38040,25
2023-03-07,2023-03-07,32.4601429368,35.2877427919,Health Care,Health facility incident,Israeli Defence Forces,Firearms,2023,3,7,38227,26
2023-03-21,2023-03-21,31.5583792302,34.5438802242,Health Care,Health facility incident,Israel Border Police,Firearms,2023,3,21,38923,27
2023-03-21,2023-03-21,31.9014188,35.2061353,Health Care,forceful entry,Israeli Defence Forces,"Tasers, Live and Rubber Bullets",2023,3,21,38333,28
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Firearms,2023,3,27,38338,29
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Firearms,2023,3,27,38337,30
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,OtherHealthProfessional: 4 injured; 1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli settlers,Firearms,2023,3,27,38335,31
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Firearms,2023,3,27,38340,32
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,OtherHealthProfessional: 4 injured; 2 ambulance(s) destroyed; 2 ambulance(s) damaged,Israeli settlers,Firearms,2023,3,27,38334,33
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Firearms,2023,3,27,38339,34
2023-03-27,2023-03-27,32.2205316,35.2569374,Health Care,access obstructed,"Israeli Defence Forces, Israeli settlers",Firearms,2023,3,27,38336,35
2023-03-30,2023-03-30,32.3111468,35.0275505,Health Care,1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,3,30,38341,36
2023-04-01,2023-04-01,31.7758628946,35.2357828617,Health Care,Doctor: 1 killed,Israeli police,Firearms,2023,4,1,38515,37
2023-04-05,2023-04-05,31.77630415,35.2355960526,Health Care,Paramedic: 1 injured; access obstructed; 1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,4,5,38612,38
2023-04-05,2023-04-05,31.77630415,35.2355960526,Health Care,2 ambulance(s) damaged,Israeli Defence Forces,Unspecified Explosive,2023,4,5,38615,39
2023-04-05,2023-04-05,31.77630415,35.2355960526,Health Care,1 facility(ies) destroyed; forceful entry,Israeli Defence Forces,Fist and Foot,2023,4,5,38608,40
2023-04-07,2023-04-07,31.514929097,34.4803443182,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Missile,2023,4,7,38522,41
2023-04-15,2023-04-15,31.5128679,34.4581358,Health Care,Doctor: 1 killed,Israeli Defence Forces,Missile,2023,4,15,72007,42
2023-04-28,2023-04-28,32.0198067,35.346234,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,4,28,38678,43
2023-05-09,2023-05-09,31.5579135809,34.5434161698,Health Care,access obstructed,Israeli Defence Forces,Unarmed Perpetrator,2023,5,9,39359,44
2023-05-09,2023-05-09,31.519873821,34.4424798861,Health Care,"HeadOfProgramme, Student(Tertiary): 2 killed",Israeli Defence Forces,Aerial Bomb: Plane,2023,5,9,39017,45
2023-05-13,2023-05-13,31.5398355142,34.5375424316,Health Care,vicinity affected,Israeli Defence Forces,Shelling,2023,5,13,39019,46
2023-05-13,2023-05-13,31.4200022681,34.3597412109,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Unspecified Explosive,2023,5,13,39018,47
2023-05-22,2023-05-22,32.2053935884,35.2865839068,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,5,22,39644,48
2023-06-19,2023-06-19,32.4601429368,35.2877427919,Health Care,access obstructed; 1 ambulance(s) destroyed; 1 ambulance(s) damaged,Israeli Defence Forces,Firearms,2023,6,19,39645,49
2023-06-20,2023-06-20,32.1791437,35.3349466,Health Care,"AmbulanceDriver, Paramedic: 4 injured; access obstructed",Israeli settlers,Firearms,2023,6,20,39776,50
2023-06-21,2023-06-21,32.1521357,35.2571332,Health Care,1 ambulance(s) damaged,No Information,"Tasers, Live and Rubber Bullets",2023,6,21,39648,51
2023-06-21,2023-06-21,32.0358381397,35.28589697,Health Care,access obstructed,Israeli settlers,Firearms,2023,6,21,39777,52
2023-06-24,2023-06-24,31.4350791,35.159752,Health Care,AmbulanceDriver: 1 injured; 1 ambulance(s) damaged,Israeli settlers,Firearms,2023,6,24,39650,53
2023-07-03,2023-07-03,32.4601429368,35.2877427919,Health Care,access obstructed,Israeli Defence Forces,Firearms,2023,7,3,39780,54
2023-07-03,2023-07-03,32.4601429368,35.2877427919,Health Care,Paramedic: 3 arrested,Israeli Defence Forces,Firearms,2023,7,3,40586,55
2023-07-03,2023-07-03,32.4601429368,35.2877427919,Health Care,Health facility incident,Israeli Defence Forces,Firearms,2023,7,3,39778,56
