Country,Year,Drinking_Water_Access_Percent
Israel,2000,99.8
Palestine,2000,74.6
Israel,2001,99.8
Palestine,2001,75.0
Israel,2002,99.7
Palestine,2002,75.4
Israel,2003,99.7
Palestine,2003,75.8
Israel,2004,99.7
Palestine,2004,76.2
Israel,2005,99.7
Palestine,2005,76.5
Israel,2006,99.7
Palestine,2006,76.9
Israel,2007,99.7
Palestine,2007,77.3
Israel,2008,99.7
Palestine,2008,77.7
Israel,2009,99.7
Palestine,2009,78.1
Israel,2010,99.6
Palestine,2010,78.5
Israel,2011,99.6
Palestine,2011,78.9
Israel,2012,99.6
Palestine,2012,79.3
Israel,2013,99.6
Palestine,2013,79.7
Israel,2014,99.6
Palestine,2014,80.1
Israel,2015,99.6
Palestine,2015,80.4
Israel,2016,99.6
Palestine,2016,80.5
Israel,2017,99.6
Palestine,2017,80.5
Israel,2018,99.5
Palestine,2018,80.5
Israel,2019,99.5
Palestine,2019,80.6
Israel,2020,99.5
Palestine,2020,80.6
Israel,2021,99.5
Palestine,2021,80.6
Israel,2022,99.5
Palestine,2022,80.6
Israel,2023,99.5
Palestine,2023,80.6
Israel,2024,99.5
Palestine,2024,80.6
