date,latitude,longitude,type,description,perpetrator,perpetrator_type,weapon,impact,categories,location,event_id,year,month,day,date_string
2023-10-07,31.5349,34.4667,Food System,October 2023: Israeli warplanes conducted airstrikes on agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111326,2023,10,7,2023-10-07
2023-10-07,31.5282145018,34.4840240479,Food System,07 October 2023: A Red Cross ambulance centre was damaged when its vicinity was hit by Israeli forces.,Israeli Defence Forces,Host Government: Military,Unspecified Explosive,Not Applicable,,Gaza Strip,44123,2023,10,7,2023-10-07
2023-10-07,31.5541,34.5016,Food System,October 2023: Israeli warplanes targeted agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111325,2023,10,7,2023-10-07
2023-10-07,31.5541,34.5016,Food System,07 October 2023: Israeli warplanes targeted agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,96531,2023,10,7,2023-10-07
2023-10-07,31.5349,34.4667,Food System,07 October 2023: Israeli warplanes conducted airstrikes on agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,96530,2023,10,7,2023-10-07
2023-10-08,31.5011,34.4666,Food System,"October 2023: Israel halted electricity and fuel supply to Gaza, which in turn triggered the shutdown of Gaza's sole power plant.",Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,Energy Systems,"Events Affecting Energy Supplies, Access Constraints",Gaza Strip,111324,2023,10,8,2023-10-08
2023-10-08,31.4864,34.4738,Food System,October 2023: Israeli military airplanes also struck agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111323,2023,10,8,2023-10-08
2023-10-08,31.4486,34.3925,Food System,October 2023: Israeli military airplanes struck houses in agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111322,2023,10,8,2023-10-08
2023-10-08,31.5011,34.4666,Food System,"October 2023: Israel halted electricity and fuel supply to Gaza, which in turn triggered the shutdown of Gaza's sole power plant.",Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,Energy Systems,"Events Affecting Energy Supplies, Access Constraints",Gaza Strip,98062,2023,10,8,2023-10-08
2023-10-08,31.4486,34.3925,Food System,08 October 2023: Israeli military airplanes struck houses in agricultural lands. One person was killed.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,"Food Production, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Agricultural Land",Gaza Strip,96529,2023,10,8,2023-10-08
2023-10-08,31.4864,34.4738,Food System,08 October 2023: Israeli military airplanes struck agricultural lands.,Israeli Defence Forces,Host Government: Military,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,96528,2023,10,8,2023-10-08
2023-10-09,31.287,34.2595,Food System,October 2023: Israeli military forces shelled agricultural lands.,Israeli Defence Forces,Host Government: Military,Shelling,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111316,2023,10,9,2023-10-09
2023-10-09,31.3191,34.3401,Food System,October 2023: Israeli military forces shelled agricultural lands.,Israeli Defence Forces,Host Government: Military,Shelling,Food Production,Damage/Destruction Of Agricultural Land,Gaza Strip,111315,2023,10,9,2023-10-09
