date,latitude,longitude,type,description,perpetrator,perpetrator_type,weapon,facilities_destroyed,facilities_damaged,health_workers_killed,health_workers_injured,health_workers_kidnapped,health_workers_arrested,worker_profession,access_obstructed,event_id,year,month,day,date_string
2023-01-05,31.65328,35.2293265,Health Care,AmbulanceDriver: 1 injured,Demonstrators,Civilian,"Stones, Sticks and Gravel",0,0,0,1,0,0,AmbulanceDriver,False,36570,2023,1,5,2023-01-05
2023-01-12,32.0267056794,35.2904891968,Health Care,access obstructed,No Information,No Information,No Information on the Weapon Used,0,0,0,0,0,0,,True,37090,2023,1,12,2023-01-12
2023-01-13,32.0252510884,35.290145874,Health Care,1 ambulance(s) damaged,No Information,No Information,Firearms,0,0,0,0,0,0,,False,36926,2023,1,13,2023-01-13
2023-01-19,32.4620862094,35.2915349538,Health Care,1 facility(ies) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,1,0,0,0,0,,False,36927,2023,1,19,2023-01-19
2023-01-21,31.9030543,35.1952255,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,36935,2023,1,21,2023-01-21
2023-01-26,32.460533,35.2881918,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,AmbulanceDriver,True,37168,2023,1,26,2023-01-26
2023-01-26,32.4620862094,35.2915349538,Health Care,Health facility incident,Israeli Defence Forces,Host Government: Military,"Tasers, Live and Rubber Bullets",0,0,0,0,0,0,,False,37167,2023,1,26,2023-01-26
2023-02-02,31.7629636205,34.9384953773,Health Care,access obstructed,No Information,No Information,Firearms,0,0,0,0,0,0,NoInformation,True,39372,2023,2,2,2023-02-02
2023-02-13,31.8125660076,35.245844152,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,38020,2023,2,13,2023-02-13
2023-02-13,31.528902,35.0944873,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,38023,2023,2,13,2023-02-13
2023-02-22,32.2195549125,35.2589893341,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Not Applicable: No Direct Violence,0,0,0,0,0,0,,True,38960,2023,2,22,2023-02-22
2023-02-22,32.2205316,35.2569374,Health Care,"AmbulanceDriver, OtherHealthProfessional, Paramedic: 2 injured; access obstructed",Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,2,0,0,"AmbulanceDriver, OtherHealthProfessional, Paramedic",True,37982,2023,2,22,2023-02-22
2023-02-22,32.2166679436,35.2593111992,Health Care,access obstructed; 1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,"AmbulanceDriver, OtherHealthProfessional, Paramedic",True,37962,2023,2,22,2023-02-22
2023-02-22,32.2200925575,35.2602767944,Health Care,1 ambulance(s) damaged,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,"AmbulanceDriver, Paramedic",False,37979,2023,2,22,2023-02-22
2023-02-22,32.2202806639,35.2597403526,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,Paramedic,True,38936,2023,2,22,2023-02-22
2023-02-26,32.1521357,35.2571332,Health Care,1 ambulance(s) damaged,Israeli settlers,Civilian,"Stones, Sticks and Gravel",0,0,0,0,0,0,,False,38054,2023,2,26,2023-02-26
2023-02-26,32.1917967183,35.1960754395,Health Care,1 ambulance(s) damaged,Israeli settlers,Civilian,"Stones, Sticks and Gravel",0,0,0,0,0,0,,False,38053,2023,2,26,2023-02-26
2023-02-26,32.1521357,35.2571332,Health Care,access obstructed,Israeli Defence Forces,Host Government: Military,Firearms,0,0,0,0,0,0,,True,38067,2023,2,26,2023-02-26
