Country,Year,Sanitation_Access_Percent
Palestine,2000,32.5
Israel,2000,80.4
Palestine,2001,32.6
Israel,2001,81.1
Palestine,2002,32.7
Israel,2002,81.8
Palestine,2003,32.8
Israel,2003,82.4
Palestine,2004,33.0
Israel,2004,83.1
Palestine,2005,33.2
Israel,2005,83.8
Palestine,2006,33.5
Israel,2006,84.5
Palestine,2007,33.7
Israel,2007,85.2
Palestine,2008,34.0
Israel,2008,85.9
Palestine,2009,34.5
Israel,2009,86.6
Palestine,2010,35.2
Israel,2010,87.3
Palestine,2011,36.0
Israel,2011,88.0
Palestine,2012,36.8
Israel,2012,88.6
Palestine,2013,37.5
Israel,2013,89.3
Palestine,2014,41.6
Israel,2014,90.0
Palestine,2015,45.7
Israel,2015,90.7
Palestine,2016,49.9
Israel,2016,91.4
Palestine,2017,54.2
Israel,2017,92.2
Palestine,2018,58.5
Israel,2018,92.9
Palestine,2019,62.8
Israel,2019,93.6
Palestine,2020,67.3
Israel,2020,94.3
Palestine,2021,71.7
Israel,2021,95.0
Palestine,2022,72.7
Israel,2022,95.7
Palestine,2023,73.4
Israel,2023,96.4
Palestine,2024,73.5
Israel,2024,97.2
