country,event_type,sub_event_type,events
Gaza,Battles,Armed clash,1672
Gaza,Battles,Non-state actor overtakes territory,1
Gaza,Explosions/Remote violence,Air/drone strike,12738
Gaza,Explosions/Remote violence,Grenade,3
Gaza,Explosions/Remote violence,Remote explosive/landmine/IED,323
Gaza,Explosions/Remote violence,Shelling/artillery/missile attack,7961
Gaza,Protests,Excessive force against protesters,6
Gaza,Protests,Peaceful protest,185
Gaza,Protests,Protest with intervention,5
Gaza,Riots,Mob violence,4
Gaza,Riots,Violent demonstration,70
Gaza,Strategic developments,Agreement,2
Gaza,Strategic developments,Arrests,28
Gaza,Strategic developments,Change to group/activity,313
Gaza,Strategic developments,Disrupted weapons use,28
Gaza,Strategic developments,Headquarters or base established,3
Gaza,Strategic developments,Looting/property destruction,1595
Gaza,Strategic developments,Other,606
Gaza,Violence against civilians,Abduction/forced disappearance,2
Gaza,Violence against civilians,Attack,825
Gaza,Violence against civilians,Sexual violence,1
Israel,Battles,Armed clash,323
Israel,Battles,Government regains territory,1
Israel,Battles,Non-state actor overtakes territory,1
Israel,Explosions/Remote violence,Air/drone strike,384
Israel,Explosions/Remote violence,Remote explosive/landmine/IED,8
Israel,Explosions/Remote violence,Shelling/artillery/missile attack,3881
Israel,Explosions/Remote violence,Suicide bomb,3
Israel,Protests,Excessive force against protesters,4
Israel,Protests,Peaceful protest,4872
Israel,Protests,Protest with intervention,489
Israel,Riots,Mob violence,65
Israel,Riots,Violent demonstration,399
Israel,Strategic developments,Agreement,6
Israel,Strategic developments,Arrests,9
Israel,Strategic developments,Change to group/activity,14
Israel,Strategic developments,Disrupted weapons use,1353
Israel,Strategic developments,Headquarters or base established,1
Israel,Strategic developments,Looting/property destruction,103
Israel,Strategic developments,Other,171
Israel,Violence against civilians,Abduction/forced disappearance,12
Israel,Violence against civilians,Attack,157
Israel,Violence against civilians,Sexual violence,3
